ID,context_id,context_title,context_length,context,question type,question,A,B,C,D,E,answer
91,11,Masjid Aqsha di Bait al-Maqdis (2),1961,"Namun di hadapan Allah hal itu tidaklah luar biasa, karena jika Allah menghendaki sesuatu tentulah terjadi. Dalam al-Qur'an sendiri terdapat keterangan yang cukup jelas mengenai perjalanan Masjid Aqsha, bahwa ia telah mengalami penghancuran sebanyak dua kali, keterangan tersebut justru diangkat dalam surat al Isra' 4-8 yang peneguhannya dibuka dengan perjalanan Isra' dan Mi'raj, ""Dan telah Kami tetapkan terhadap Bani Israil dalam Kitab itu: ""Sesungguhnya kamu akan membuat kerusakan di muka bumi ini dua kali dan pasti kamu akan menyombongkan diri dengan kesombongan yang besar"". Maka apabila datang saat hukuman bagi (kejahatan) pertama dari kedua (kejahatan) itu, Kami datangkan kepadamu hamba-hamba Kami yang mempunyai kekuatan yang besar, lalu mereka merajalela di kampung-kampung, dan itulah ketetapan yang pasti terlaksana. Kemudian Kami berikan kepadamu giliran untuk mengalahkan mereka kembali dan Kami membantumu dengan harta kekayaan dan anak-anak dan Kami jadikan kamu kelompok yang lebih besar. Jika kamu berbuat baik (berarti) kamu berbuat baik bagi dirimu sendiri dan jika kamu berbuat jahat, maka (kejahatan) itu bagi dirimu sendiri, dan apabila datang saat hukuman bagi (kejahatan) yang kedua, (Kami datangkan orang-orang lain) untuk menyuramkan muka-muka kamu dan mereka masuk ke dalam mesjid, sebagaimana musuh-musuhmu memasukinya pada kali pertama dan untuk membinasakan sehabis-habisnya apa saja yang mereka kuasai. Mudah-mudahan Tuhanmu akan melimpahkan rahmat(Nya) kepadamu; dan sekiranya kamu kembali kepada (kedurhakaan) niscaya Kami kembali (mengazabmu) dan Kami jadikan neraka Jahannam penjara bagi orang-orang yang tidak beriman. 

Dalam firman di atas disebutkan bahwa Anak cucu Isra'il ditakdirkan dalam Kitab membuat kerusakan dua kali (menurut ahli tafsir berarti Lawh al-Mahfuzh ataupun kitab Taurat). Dan pada kedua pengerusakan tersebut Allah mengirim ahzabnya berupa penghancuran Masjid Aqsha dan terhinanya bangsa Yahudi.",what,Surat apa yang mengangkat keterangan tentang Masjid Aqsha?,surat Al-Ma'idah,surat Al-Baqarah,surat al Isra',surat An-Nisa,surat Al-Hajj,C
92,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",what,Apa nama buku yang ditulis oleh Ibn Khaldun yang berisi pandangan ilmiah dan kesejarahan tentang penghancuran pertama dan kedua Masjid Aqsha?,Kamiliyah,Al-Qarabas,Risalah,Al-Ibriz,Muqaddimah,E
93,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",who,"Siapakah yang menaklukkan Samaria, Judea, dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi?",Khalid bin Walid,Saladin,Umar bin Khattab,Nebukadnezar,Harun al-Rashid,D
94,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",what,Apa yang dilakukan Nebukadnezar terhadap Masjid Aqsha?,merestorasi,mengubah menjadi kuil pagan,menguasai dan mengawasi,membangun kembali,menghancurkan,E
95,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",who,Siapa yang berhasil mengembalikan bangsa Yahudi ke Yerusalem setelah penghancuran Masjid Aqsha yang pertama?,raja Persia dan dinasti Kiyaniyyah,Khalifah Umar bin Khattab,Raja Herodes,sultan Salahuddin Al-Ayyubi,Raja Salomo,A
96,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",who,Siapakah yang berhasil mengakhiri penjajahan Yunani dan mendapatkan kekuasaan di Yerusalem setelahnya?,kekhalifahan Fatimiyah,kekaisaran Romawi Timur,kesultanan Utsmani,kaum Yahudi,kekhalifahan Abbasiyah,D
97,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",who,Siapa penguasa Yahudi pada saat bangsa Romawi menghancurkan Masjid Aqsha di Yerusalem dan mengasingkan orang-orang Yahudi?,Raja Herodus,Raja Antiochus IV Epiphanes,Raja Cyrus II,Raja Nebukadnezar II,Raja Solomon,A
98,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",who,Siapa yang memimpin tentara Romawi saat menghancurkan Yerusalem dan Masjid Aqsha dalam peristiwa penghancuran kedua tersebut?,Umar bin Khattab,Titus,Khalid bin Walid,Abu Bakar Ash-Shiddiq,Salahuddin Al Ayyubi,B
99,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",what,Apa yang disebut kaum Yahudi sebagai pengasingan mereka setelah penghancuran Masjid Aqsha yang kedua?,Al-Jalwat Al-Sughra (The Small Exile),Al-Hijrah Al-Kubra (The Great Migration),Al-Hejira (The Migration),"""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile)",Al-Halakah Al-Kubra (The Great Dispersion),D
100,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",who,Siapakah penulis tafsir yang lebih fokus pada sudut pandang kesejarahan dalam mengulas peristiwa penghancuran Masjid Aqsha?,Al-Tabari,Ibn Khaldun,Al-Bukhari,Al-Maqrizi,Al-Tha'labi,B
101,12,Masjid Aqsha di Bait al-Maqdis (3),1999,"Banyak ulama tafsir yang telah mengulas peristiwa pengerusakan pertama dan pengerusakan kedua masjid Aqsha tersebut, seperti Zamakhsyari dalam tafsirnya al-Kasyayaf, Ibn Katsir, Tafsir al-Baydiwi, Tafsir al-Khazin, namun keterangan Ibn Khaldun lebih ilmiah dan sudut pandang kesejarahan, yang ditulis dalam Muqaddimah. Menurut Ibn Khaldun, Nebukadnezar menaklukkan Samaria, kemudian Judea dan menyerbu Yerusalem, menghancurkan Masjid Aqsha, membakar Taurat dan mematikan agama Yahudi. Nebukadnezar kemudian memboyong orang-orang Yahudi ke negerinya (untuk dijadikan budak), ini adalah peristiwa penghancuran Masjid Aqsha yang pertama. Selang tujuh puluh tahun seorang raja Persia dan dinasti Kiyaniyyah (Achaemenid) berhasil mengembalikan bangsa Yahudi itu ke Yerusalem, setelah mengalahkan Babylonia dalam suatu peperangan. Kaum Yahudi membangun kembali masjid mereka (Masjid Aqsha) menurut bentuk aslinya (dan zaman Nabi Sulayman). Tapi pusat ibadat itu hanya untuk kegiatan keagamaan para pendeta saja, tanpa makna kekuasaan politik seperti sebelumnya. Kekuasaan politik berada di tangan bangsa Persia. 

Iskandar Agung dan Yunani mengalahkan Persia, dan kaum Yahudi berada dalam kekuasaan Yunani. Tetapi kekuasaan ini segera melemah, dan kaum Yahudi bangkit kembali serta berhasil mengakhiri penjajahan Yunani. Kini kekuasaan kaum Yahudi ada di tangan kaum pendeta Hasmonean (Barn Hasyrnanaya), sampai mereka dikalahkan oleh bangsa Romawi Pada waktu Romawi menyerbu Yerusalem, kaum Yahudi diperintah oleh Raja Herodus, seorang penguasa Yahudi (konon berdarah Arab, namun berbudaya Yunani), yang kawin dengan wanita dari klan Hasmonean. Tentara Romawi, dipimpin oleh Titus, menghancurkan Yerusalem, meratakan Masjid Aqsha dengan tanah, dan mengasingkan orang-orang Yahudi ke Roma dan ke daerah yang lebih jauh lagi. Inilah penghancuran Masjid Aqsha yang kedua, dan pengasingan tersebut disebut kaum Yahudi sebagai ""Pengasingan Besar"" (Al-Jalwat Al-Kubra atau Al-Jala' Al-Akbar, the Great Exile).",who,Siapa tokoh atau kelompok yang berhasil mengalahkan Persia dalam sejarah sebelum islam?,Salahuddin al-Ayyubi dan pasukan Muslim,Timur Lenk dan pasukan Mongol,Iskandar Agung dan Yunani,Khalid bin Walid dan pasukan Muslim,Babakhan dan pasukan Turkic,C
